Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference
I650,Prison_2,Object,Pixabay,2.62037037037037,1.18177430829638,108,3.18269230769231,1.68237247573916,104,2.684210526,1.136377307,57,2.549019608,1.237961639,51,2.734693878,1.692821981,49,3.581818182,1.583373205,55,0.13519091800000016
I654,Rafting_2,Person,Wikipedia,4.82352941176471,1.18915699157493,102,4.82178217821782,1.75724807357391,101,4.75,1.123222109,44,4.879310345,1.243616489,58,4.808510638,1.623714179,47,4.807692308,1.910122279,52,0.12931034500000038
I666,Rock_climbing_3,Person,Wikipedia,4.54901960784314,1.17420671329725,102,4.46534653465347,1.65870043368683,101,4.311111111,1.27604186,45,4.732142857,1.070107411,56,4.693877551,1.648282966,49,4.25,1.655353762,52,0.4210317460000006
I675,Rollercoaster_1,Scene,Wikipedia,5.44554455445545,1.20395388221271,101,4.70873786407767,1.58195131404947,103,5.413793103,1.026567825,58,5.488372093,1.420464261,43,4.612244898,1.604892605,49,4.79245283,1.585493014,53,0.07457899000000001
I676,Rollercoaster_2,Scene,Wikipedia,5.37254901960784,1.21802931753114,102,5.11881188118812,1.42328583715901,101,5.431818182,1.208453312,44,5.327586207,1.233849077,58,5.170212766,1.372385244,47,5.153846154,1.391636297,52,0.10423197499999937
I683,Rooster_1,Animal,Flickr/Craig Marren,4.32352941176471,1.17027342752281,102,3.45544554455446,1.58445418031098,101,4.181818182,1.017811772,44,4.431034483,1.271993448,58,3.191489362,1.469076875,47,3.730769231,1.646331449,52,0.24921630100000058
I687,Running_away_1,Person,Pixabay,4.57843137254902,1.21407810039449,102,3.56435643564356,1.54541801195766,101,4.644444444,1.170771998,45,4.535714286,1.264397603,56,3.591836735,1.566822253,49,3.538461538,1.539818406,52,0.10873015800000019
I692,Sad_face_5,Person,Pixabay,4.33333333333333,1.17172406893832,102,3.10891089108911,1.53558451476309,101,4.466666667,1.057441165,45,4.25,1.254084237,56,3.367346939,1.64182162,49,2.865384615,1.400683953,52,0.21666666700000015
I704,Sailing_1,Scene,Wikipedia,4.59405940594059,1.21801656656863,101,4.45631067961165,1.67903274576627,103,4.793103448,1.151027317,58,4.325581395,1.267185299,43,4.387755102,1.538618516,49,4.509433962,1.825278077,53,0.4675220529999997
I707,Satellite_1,Object,Pixabay,5.06862745098039,1.21263810214084,102,3.83168316831683,1.7092062890751,101,5.311111111,1.16428328,45,4.892857143,1.231090742,56,4.285714286,1.695582496,49,3.403846154,1.624078808,52,0.41825396800000014
I732,Shark_7,Animal,Wikipedia,3.81188118811881,1.1892255571348,101,4.28155339805825,1.65930221412706,103,3.724137931,1.166688272,58,3.930232558,1.222708719,43,4.510204082,1.621758934,49,4.037735849,1.675183849,53,0.20609462700000014
I738,Shot_1,Object,Pixabay,2.76470588235294,1.18719630270363,102,4.21782178217822,1.81991186817406,101,2.711111111,1.254486897,45,2.839285714,1.124548972,56,4.204081633,1.80253978,49,4.230769231,1.853617392,52,0.12817460299999972
I741,Shot_4,Object,Pixabay,2.54901960784314,1.1909514540687,102,3.6039603960396,1.79487719870075,101,2.533333333,1.272077756,45,2.589285714,1.124548972,56,3.755102041,1.820377848,49,3.461538462,1.77633174,52,0.055952380999999995
I766,Smiling_face_1,Person,Pixabay,5.63888888888889,1.1717734249852,108,4.125,1.69343392153398,104,5.631578947,1.174605997,57,5.647058824,1.18022929,51,4.775510204,1.531139365,49,3.545454545,1.630929998,55,0.015479876999999753
I783,Soldiers_2,Person,Pixabay,4.00990099009901,1.19578467547423,101,3.50485436893204,1.63823067163499,103,4.051724138,1.289939667,58,3.953488372,1.068008569,43,3.673469388,1.612293334,49,3.339622642,1.674967235,53,0.09823576600000017
I789,Soldiers_8,Person,Pixabay,2.50925925925926,1.20354127295571,108,3.93269230769231,1.77503957607691,104,2.614035088,1.191553397,57,2.392156863,1.217841227,51,3.346938776,1.702339327,49,4.454545455,1.686747712,55,0.2218782250000002
I799,Stingray_3,Animal,Pixabay,4.53465346534653,1.196364128814,101,4.0873786407767,1.62158719219543,103,4.413793103,1.139936637,58,4.697674419,1.263684781,43,4.224489796,1.544685865,49,3.943396226,1.703109084,53,0.28388131600000044
I819,Surgery_4,Person,Wikipedia,3.48514851485149,1.18839270770346,101,3.89320388349515,1.86249159155477,103,3.517241379,1.188266898,58,3.441860465,1.201235982,43,3.87755102,1.821545281,49,3.924528302,1.930016507,53,0.07538091400000013
I822,Surprise_2,Person,Pixabay,5.29411764705882,1.17387599741594,102,3.64356435643564,1.73542017053993,101,5.068181818,1.189053313,44,5.465517241,1.142719398,58,3.489361702,1.666450803,47,3.865384615,1.771549075,52,0.39733542299999947
I831,Thunderstorm_7,Scene,Pixabay,4.48514851485149,1.17994797670184,101,4.15533980582524,1.73067640382959,103,4.431034483,1.027892905,58,4.558139535,1.368042146,43,4.204081633,1.485760073,49,4.094339623,1.953932435,53,0.12710505199999922
I834,Thunderstorm_10,Scene,Pixabay,4.36633663366337,1.18930881000039,101,4.40776699029126,1.68869884476524,103,4.293103448,1.076195715,58,4.465116279,1.33361016,43,4.489795918,1.515509389,49,4.320754717,1.858179267,53,0.17201283099999998
I847,Toilet_4,Object,Pixabay,2.53465346534653,1.21296625209149,101,3.15533980582524,1.7643378003081,103,2.74137931,1.291814239,58,2.255813953,1.048650454,43,3.224489796,1.817339013,49,3.132075472,1.721333739,53,0.48556535700000003
I882,Wedding_9,Person,Pixabay,5.76470588235294,1.19550702271095,102,4.04950495049505,1.54516172372838,101,5.613636364,1.224097372,44,5.879310345,1.170958315,58,3.85106383,1.587707171,47,4.192307692,1.52158923,52,0.26567398099999995
